Id,Id2,Geography,Estimate; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Occupied housing units - Owner-occupied,Percent; HOUSING TENURE - Occupied housing units - Owner-occupied,Estimate; HOUSING TENURE - Occupied housing units - Renter-occupied,Percent; HOUSING TENURE - Occupied housing units - Renter-occupied,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Percent; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Percent; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2010 to 2014,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2000 to 2009,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1990 to 1999,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1980 to 1989,Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
1400000US34005704012,34005704012,"Census Tract 7040.12, Burlington County, New Jersey",2258,1910,84.6,348,15.4,2.39,(X),2.41,(X),2258,2258,193,8.5,503,22.3,745,33,475,21,326,14.4,16,0.7,1583,1885,327,983,314,1607,100667
1400000US34005704013,34005704013,"Census Tract 7040.13, Burlington County, New Jersey",1751,1720,98.2,31,1.8,2.98,(X),2.94,(X),1751,1751,22,1.3,270,15.4,533,30.4,538,30.7,228,13,160,9.1,1354,2322,366,962,21,-,111719
1400000US34005704014,34005704014,"Census Tract 7040.14, Burlington County, New Jersey",2988,2424,81.1,564,18.9,2.76,(X),2.17,(X),2988,2988,192,6.4,700,23.4,1520,50.9,370,12.4,157,5.3,49,1.6,1662,2620,762,1129,548,970,118033
1400000US34005704200,34005704200,"Census Tract 7042, Burlington County, New Jersey",2930,2384,81.4,546,18.6,2.95,(X),2.25,(X),2930,2930,227,7.7,404,13.8,1211,41.3,541,18.5,313,10.7,234,8,1738,2551,646,855,491,1230,97560
1400000US34005704302,34005704302,"Census Tract 7043.02, Burlington County, New Jersey",1824,1674,91.8,150,8.2,3.28,(X),2.93,(X),1824,1824,107,5.9,384,21.1,796,43.6,308,16.9,91,5,138,7.6,1338,2988,336,1246,143,1519,141970
1400000US34005704500,34005704500,"Census Tract 7045, Burlington County, New Jersey",1584,1054,66.5,530,33.5,2.56,(X),2.31,(X),1584,1584,175,11,351,22.2,494,31.2,252,15.9,142,9,170,10.7,600,1921,454,724,527,830,57240
1400000US34005704600,34005704600,"Census Tract 7046, Burlington County, New Jersey",962,521,54.2,441,45.8,2.71,(X),2.22,(X),962,962,68,7.1,383,39.8,209,21.7,102,10.6,77,8,123,12.8,354,1491,167,765,436,1076,40833
1400000US34005704700,34005704700,"Census Tract 7047, Burlington County, New Jersey",1314,1109,84.4,205,15.6,2.64,(X),2.64,(X),1314,1314,76,5.8,243,18.5,373,28.4,248,18.9,206,15.7,168,12.8,709,1914,400,768,166,1047,76974
1400000US34005704801,34005704801,"Census Tract 7048.01, Burlington County, New Jersey",958,259,27,699,73,2.71,(X),3.1,(X),958,958,194,20.3,470,49.1,148,15.4,45,4.7,44,4.6,57,5.9,191,1959,68,681,692,1895,57283
1400000US34005704802,34005704802,"Census Tract 7048.02, Burlington County, New Jersey",221,5,2.3,216,97.7,-,(X),3.27,(X),221,221,53,24,161,72.9,5,2.3,2,0.9,0,0,0,0,0,-,5,-,200,2257,84792
1400000US34005981802,34005981802,"Census Tract 9818.02, Burlington County, New Jersey",12,12,100,0,0,3.42,(X),-,(X),12,12,0,0,0,0,8,66.7,0,0,0,0,4,33.3,12,3375,0,-,0,-,166250
1400000US34005982111,34005982111,"Census Tract 9821.11, Burlington County, New Jersey",124,0,0,124,100,-,(X),3.44,(X),124,124,26,21,89,71.8,9,7.3,0,0,0,0,0,0,0,-,0,-,124,2125,63333
1400000US34007600200,34007600200,"Census Tract 6002, Camden County, New Jersey",667,363,54.4,304,45.6,2.59,(X),3.13,(X),667,667,61,9.1,127,19,210,31.5,106,15.9,28,4.2,135,20.2,155,944,208,456,285,961,24099
1400000US34007600400,34007600400,"Census Tract 6004, Camden County, New Jersey",917,419,45.7,498,54.3,2.42,(X),3.34,(X),917,917,114,12.4,123,13.4,351,38.3,58,6.3,67,7.3,204,22.2,88,961,331,308,410,875,18625
1400000US34007600700,34007600700,"Census Tract 6007, Camden County, New Jersey",509,170,33.4,339,66.6,3.25,(X),2.98,(X),509,509,0,0,158,31,227,44.6,63,12.4,6,1.2,55,10.8,29,791,141,417,286,1035,24438
1400000US34007600800,34007600800,"Census Tract 6008, Camden County, New Jersey",1786,282,15.8,1504,84.2,3.06,(X),2.65,(X),1786,1786,208,11.6,552,30.9,649,36.3,168,9.4,113,6.3,96,5.4,119,975,163,460,1447,422,19746
1400000US34007600900,34007600900,"Census Tract 6009, Camden County, New Jersey",1354,420,31,934,69,3.01,(X),3.16,(X),1354,1354,124,9.2,415,30.6,414,30.6,234,17.3,117,8.6,50,3.7,210,973,210,495,906,729,23810
1400000US34007601000,34007601000,"Census Tract 6010, Camden County, New Jersey",1821,889,48.8,932,51.2,3.5,(X),3.75,(X),1821,1821,116,6.4,594,32.6,610,33.5,292,16,144,7.9,65,3.6,596,1084,293,516,915,1128,39253
1400000US34007601101,34007601101,"Census Tract 6011.01, Camden County, New Jersey",810,384,47.4,426,52.6,4.27,(X),3.92,(X),810,810,75,9.3,189,23.3,374,46.2,51,6.3,90,11.1,31,3.8,274,1217,110,519,379,964,42143
1400000US34007601102,34007601102,"Census Tract 6011.02, Camden County, New Jersey",1646,814,49.5,832,50.5,3.76,(X),3.46,(X),1646,1646,163,9.9,439,26.7,525,31.9,266,16.2,144,8.7,109,6.6,529,1141,285,548,805,963,37500
1400000US34007601200,34007601200,"Census Tract 6012, Camden County, New Jersey",1853,1158,62.5,695,37.5,3.16,(X),3.31,(X),1853,1853,160,8.6,470,25.4,534,28.8,359,19.4,165,8.9,165,8.9,636,1105,522,486,669,1048,42121
1400000US34007601300,34007601300,"Census Tract 6013, Camden County, New Jersey",1509,591,39.2,918,60.8,2.43,(X),2.99,(X),1509,1509,119,7.9,520,34.5,471,31.2,75,5,132,8.7,192,12.7,339,1177,252,463,905,917,22217
1400000US34007601400,34007601400,"Census Tract 6014, Camden County, New Jersey",1635,776,47.5,859,52.5,2.28,(X),3.32,(X),1635,1635,89,5.4,513,31.4,317,19.4,269,16.5,127,7.8,320,19.6,405,1195,371,475,804,940,32303
1400000US34007601500,34007601500,"Census Tract 6015, Camden County, New Jersey",2253,745,33.1,1508,66.9,3.09,(X),2.23,(X),2253,2253,170,7.5,825,36.6,789,35,196,8.7,107,4.7,166,7.4,464,1077,281,512,1491,895,18277
1400000US34007601600,34007601600,"Census Tract 6016, Camden County, New Jersey",955,266,27.9,689,72.1,2.1,(X),2.7,(X),955,955,89,9.3,392,41,232,24.3,81,8.5,58,6.1,103,10.8,99,958,167,448,689,874,23204
1400000US34007601700,34007601700,"Census Tract 6017, Camden County, New Jersey",1352,99,7.3,1253,92.7,2.25,(X),2.39,(X),1352,1352,98,7.2,641,47.4,478,35.4,46,3.4,43,3.2,46,3.4,59,755,40,-,1239,549,12629
1400000US34007601800,34007601800,"Census Tract 6018, Camden County, New Jersey",485,287,59.2,198,40.8,2.83,(X),3.45,(X),485,485,91,18.8,118,24.3,177,36.5,31,6.4,18,3.7,50,10.3,168,927,119,484,198,960,29922
1400000US34007601900,34007601900,"Census Tract 6019, Camden County, New Jersey",1045,346,33.1,699,66.9,2.81,(X),2.7,(X),1045,1045,24,2.3,415,39.7,298,28.5,99,9.5,47,4.5,162,15.5,175,959,171,441,688,527,20232
1400000US34007602000,34007602000,"Census Tract 6020, Camden County, New Jersey",2451,1110,45.3,1341,54.7,2.08,(X),3.05,(X),2451,2451,357,14.6,767,31.3,1023,41.7,132,5.4,106,4.3,66,2.7,845,1075,265,299,1341,1031,31823
