County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Burlington,34005701401,"Census Tract 7014.01, Burlington County, New Jersey",5.3,5.4,1729,2637,509,1030,2272,57,0,121941
Burlington,34005701402,"Census Tract 7014.02, Burlington County, New Jersey",5.1,0.8,455,1530,758,731,1031,24,1833,51414
Burlington,34005701502,"Census Tract 7015.02, Burlington County, New Jersey",6.2,11.2,811,1711,323,1031,1517,555,1077,72250
Burlington,34005701700,"Census Tract 7017, Burlington County, New Jersey",11.3,11.2,646,2026,256,708,1652,803,1210,76250
Burlington,34005702101,"Census Tract 7021.01, Burlington County, New Jersey",28.5,0,3,0,0,0,0,1271,1955,63099
Burlington,34005702203,"Census Tract 7022.03, Burlington County, New Jersey",15.2,22.1,541,1667,301,620,1293,619,913,57534
Burlington,34005702204,"Census Tract 7022.04, Burlington County, New Jersey",3,9.4,368,1696,111,674,1459,224,1057,59063
Burlington,34005702206,"Census Tract 7022.06, Burlington County, New Jersey",5.2,11.3,325,1614,214,645,1229,174,900,57989
Burlington,34005702207,"Census Tract 7022.07, Burlington County, New Jersey",7.8,9,531,1399,414,645,1069,324,820,51635
Burlington,34005702208,"Census Tract 7022.08, Burlington County, New Jersey",5.5,16.1,1457,1571,380,694,1390,325,1744,78125
Burlington,34005702209,"Census Tract 7022.09, Burlington County, New Jersey",6.7,7.2,574,1484,208,639,1259,296,1244,71369
Burlington,34005702210,"Census Tract 7022.10, Burlington County, New Jersey",6.5,8.9,896,1437,291,574,1225,380,1080,65542
Burlington,34005702300,"Census Tract 7023, Burlington County, New Jersey",10,6.8,276,1779,96,668,1492,181,1117,67750
Burlington,34005702400,"Census Tract 7024, Burlington County, New Jersey",2.4,15.5,696,2714,269,982,2231,75,869,108875
Burlington,34005702500,"Census Tract 7025, Burlington County, New Jersey",15.9,5.3,1115,2282,342,919,1962,559,1144,90938
Burlington,34005702601,"Census Tract 7026.01, Burlington County, New Jersey",8.6,17,1057,1782,282,754,1565,364,1229,74964
Burlington,34005702603,"Census Tract 7026.03, Burlington County, New Jersey",16.1,13.3,235,1443,161,745,1159,445,1076,39079
Burlington,34005702700,"Census Tract 7027, Burlington County, New Jersey",3.3,6.8,2281,1944,536,800,1726,254,1769,105000
Burlington,34005702801,"Census Tract 7028.01, Burlington County, New Jersey",1.6,19.6,484,1730,141,865,1535,59,1663,78947
Burlington,34005702802,"Census Tract 7028.02, Burlington County, New Jersey",0.8,28,612,1575,351,829,1303,72,1857,64063
Burlington,34005702803,"Census Tract 7028.03, Burlington County, New Jersey",8.5,16.2,910,1778,273,884,1572,111,1558,78000
Burlington,34005702804,"Census Tract 7028.04, Burlington County, New Jersey",3.5,18.2,710,1783,154,667,1584,74,1657,77250
Burlington,34005702805,"Census Tract 7028.05, Burlington County, New Jersey",1.5,28.2,627,1936,281,744,1567,173,1756,76842
Burlington,34005702806,"Census Tract 7028.06, Burlington County, New Jersey",3.6,19,776,1649,118,706,1525,183,1843,70263
Burlington,34005702807,"Census Tract 7028.07, Burlington County, New Jersey",8.4,11,492,1495,167,834,1327,409,1281,65865
Burlington,34005702808,"Census Tract 7028.08, Burlington County, New Jersey",6.2,20.2,562,1819,261,771,1487,206,1460,67083
Burlington,34005702809,"Census Tract 7028.09, Burlington County, New Jersey",14.7,1.4,299,1404,40,514,1299,377,1555,56250
Burlington,34005702810,"Census Tract 7028.10, Burlington County, New Jersey",0,14.8,284,2180,99,1023,1881,9,0,98558
Burlington,34005702811,"Census Tract 7028.11, Burlington County, New Jersey",2.5,24.4,578,1952,215,999,1694,21,0,77308
Burlington,34005702905,"Census Tract 7029.05, Burlington County, New Jersey",5.7,8.9,710,2320,358,1016,1883,601,1445,101515
Burlington,34005702906,"Census Tract 7029.06, Burlington County, New Jersey",5.5,20.5,361,2160,182,980,1764,66,2159,104031
Burlington,34005702907,"Census Tract 7029.07, Burlington County, New Jersey",2.3,14.7,598,2248,573,836,1557,13,0,76979
Burlington,34005702908,"Census Tract 7029.08, Burlington County, New Jersey",9.9,3.4,953,2455,914,950,1718,61,2051,69397
Burlington,34005702909,"Census Tract 7029.09, Burlington County, New Jersey",10.9,2.9,1601,2016,478,966,1775,430,1521,110703
Burlington,34005702910,"Census Tract 7029.10, Burlington County, New Jersey",2,0.8,1037,3425,641,1159,2559,309,974,116053
Burlington,34005702913,"Census Tract 7029.13, Burlington County, New Jersey",20.3,0.7,935,1486,445,727,1241,1035,1542,67875
Burlington,34005702914,"Census Tract 7029.14, Burlington County, New Jersey",1.6,13.2,948,2233,351,966,1891,179,2225,97132
Burlington,34005702915,"Census Tract 7029.15, Burlington County, New Jersey",8.1,0.6,994,1988,218,854,1784,471,1401,91250
Burlington,34005702917,"Census Tract 7029.17, Burlington County, New Jersey",8.5,3.5,552,1962,146,997,1760,77,1705,104695
Burlington,34005702918,"Census Tract 7029.18, Burlington County, New Jersey",6.3,2.2,542,1674,163,738,1458,147,1760,82837
Burlington,34005703000,"Census Tract 7030, Burlington County, New Jersey",4.7,8,1634,2266,533,750,1893,115,0,97420
